Plot MJD,Plot Weight,Plot Energy (TeV),MJD,Ra_deg,Dec_deg,Unc_deg,log10(Ereco),Energy (GeV),Energy (TeV)
56066.13716,2.431535404,4.805389358,56067.07673,76.76,5.38,0.56,3.68,4786.300923,4.786300923
56078.26958,1.332618968,3.874118122,56078.46406,78.53,6.97,0.8,3.6,3981.071706,3.981071706
56080.96169,1.488266357,1.29435852,56079.20697,76.55,5.62,0.5,3.11,1288.249552,1.288249552
56083.65379,1.304405939,4.655113241,56084.42924,75.12,4.91,1.89,3.66,4570.881896,4.570881896
56155.94182,1.778542411,1.244648593,56153.96071,77.48,7.37,0.45,3.11,1288.249552,1.288249552
56168.90381,1.632753391,2.313749838,56169.42249,77.95,5.91,1.14,3.36,2290.867653,2.290867653
56176.38189,1.590973003,0.381972276,56176.77714,77.95,5.91,0.59,2.58,380.1893963,0.380189396
56179.37311,1.183359656,0.653565864,56178.55873,77.58,4.85,0.47,2.82,660.693448,0.660693448
56196.07414,1.369685501,1.490695468,56196.02929,77.41,5.77,1.18,3.16,1445.439771,1.445439771
56235.70792,1.168495319,0.38509677,56235.72156,75.38,7.36,2.85,2.58,380.1893963,0.380189396
56263.62606,1.588051881,0.639644754,56264.63107,77.88,5.46,0.54,2.82,660.693448,0.660693448
56294.03688,1.366405499,1.168835379,56303.20508,76.67,3.33,0.38,3,1000,1
56320.21014,1.731512349,15.83694718,56321.78275,76.12,6.39,0.49,4.2,15848.93192,15.84893192
56323.6999,1.495193589,1.174630952,56323.53547,77.5,5.29,0.82,3.06,1148.153621,1.148153621
56328.43602,1.453505007,0.546485916,56329.19176,76.69,6.01,0.54,2.77,588.8436554,0.588843655
56336.91116,1.629723771,1.43119484,56338.00157,77.58,6.07,0.79,3.15,1412.537545,1.412537545
56342.14581,1.930641054,2.29430953,56343.57908,77.37,6.41,0.45,3.35,2238.721139,2.238721139
56397.48355,2.190946398,1.066784817,56398.46865,77.17,5.8,0.36,3.04,1096.478196,1.096478196
56469.77158,1.202188373,0.252184549,56470.96184,76.42,5.8,0.91,2.4,251.1886432,0.251188643
56571.97189,1.380460268,5.688192785,56573.88554,78.73,7.3,2.53,3.76,5754.399373,5.754399373
56590.41781,2.15333904,1.906262912,56590.87368,77.77,5.95,0.37,3.27,1862.087137,1.862087137
56604.62614,1.213246906,2.395378267,56605.9996,78.08,5.06,0.37,3.38,2398.832919,2.398832919
56608.61445,1.490845291,1.549736176,56609.49798,77.69,4.86,0.74,3.19,1548.816619,1.548816619
56611.35641,1.397310968,1.30909127,56610.55478,77.21,6.47,0.84,3.12,1318.256739,1.318256739
56632.29501,1.850844351,1.492938035,56633.6692,76.96,5.24,0.45,3.18,1513.561248,1.513561248
56646.25408,1.863355099,1.839071447,56646.98512,77.88,6.1,0.53,3.25,1778.27941,1.77827941
56712.06111,1.194076,3.097262495,56712.75609,75.22,5.67,1.44,3.49,3090.295433,3.090295433
56717.7943,1.310687185,1.043879798,56718.68211,77.97,6.3,0.74,3.03,1071.519305,1.071519305
56740.47778,1.156785793,0.468936978,56741.62715,78.3,5.23,0.73,2.68,478.6300923,0.478630092
56759.17296,1.760940565,2.372926609,56760.91609,77.37,6.54,0.79,3.38,2398.832919,2.398832919
56778.36668,1.155517191,1.737922181,56779.78579,76.88,4.26,1,3.27,1862.087137,1.862087137
56785.34622,1.100775367,0.592731798,56786.72671,76.51,6.22,0.96,2.79,616.5950019,0.616595002
56792.32575,1.414612356,1.498261315,56793.97563,78.27,5.52,0.58,3.17,1479.108388,1.479108388
56796.56332,1.097804169,0.996514678,56797.02319,76.73,6.39,0.47,2.99,977.237221,0.977237221
56835.20003,1.509214974,1.336142933,56836.55965,77.2,4.96,0.68,3.12,1318.256739,1.318256739
56856.13863,1.098405086,2.442696995,56857.31091,78.98,5.11,0.87,3.4,2511.886432,2.511886432
56862.8689,1.677004215,1.916402516,56864.13269,77.63,6.39,0.83,3.29,1949.8446,1.9498446
56878.32358,1.069110406,0.621989666,56879.9653,76.3,5.6,0.95,2.8,630.9573445,0.630957344
56899.51145,1.364302291,1.18741347,56899.97448,77.13,4.86,0.6,3.07,1174.897555,1.174897555
56915.96321,1.249543932,1.086645649,56917.51957,78.26,5.86,0.54,3.05,1122.018454,1.122018454
56936.40327,1.360471448,0.819255295,56937.81898,77.73,6.36,0.64,2.92,831.7637711,0.831763771
56939.64377,1.113778533,0.537153685,56937.86446,76.9,5.95,1.21,2.71,512.861384,0.512861384
56941.88719,1.36288346,0.659333865,56940.52151,77.9,5.82,0.79,2.83,676.0829754,0.676082975
56945.87549,3.309469003,9.704201775,56947.7782,76.26,7.39,2.93,2.98,954.992586,0.954992586
56954.35064,2.229405054,1.269740393,56955.79177,77.55,5.72,0.36,3.1,1258.925412,1.258925412
56957.0926,0.983413036,0.500484546,56956.08488,76.77,6.33,1.25,2.77,588.8436554,0.588843655
56979.27755,2.44919861,13.77204393,56981.13135,76.34,6.04,0.51,4.14,13803.84265,13.80384265
56982.76732,1.101952162,1.355166105,56983.24761,77.87,6.83,0.98,3.12,1318.256739,1.318256739
56989.24831,1.363893334,0.103168143,56990.43254,77.14,5.02,0.6,2,100,0.1
56991.49173,1.914090812,2.595856016,56991.93829,76.77,6.06,0.8,3.43,2691.534804,2.691534804
56994.48296,2.303334476,18.59111555,56992.15859,78.82,6.26,1.78,4.31,20417.37945,20.41737945
57008.6913,3.317748297,8.396221786,57009.53018,77.28,5.54,0.39,3.91,8128.305162,8.128305162
57012.18107,1.965310598,6.309573445,57014.19104,77.49,5.79,1.65,3.79,6165.950019,6.165950019
57071.00857,1.760882143,2.700304166,57072.20888,77.03,5.15,1.05,3.43,2691.534804,2.691534804
57073.25199,2.643319678,15.20482055,57072.9895,76.45,5.44,1.09,4.18,15135.61248,15.13561248
57088.20813,2.803747691,5.094793793,57089.43957,77.68,5.9,0.18,3.7,5011.872336,5.011872336
57092.44571,0.067132389,0.763422087,57094.73367,77.73,4.69,0.7,2.9,794.3282347,0.794328235
57110.89162,1.923071176,2.904037863,57112.65299,77.14,5.54,0.98,3.46,2884.031503,2.884031503
